SBD,Toán,Văn,Sử,Địa,Lí,Sinh,Anh,GDCD,Hóa
2001101,9,5,,,6.5,3,9.2,,6.25,
2001486,7.2,5,6.5,7,,,6.2,7.5,,
2001266,7.2,7.5,7.5,7,,,6.6,8.75,,
2000004,8.8,5.5,,,8.25,6,8.8,,5.25,
2001596,6.6,7,7,7.5,,,6,8.5,,
2000717,5.8,3.5,7.5,7.25,,,9.6,8.75,,
2001541,7,7.25,5.75,6.25,,,7.8,8.75,,
2001376,5.6,5.25,,,4.5,4,4,,5.25,
2001156,8,6.75,,,6.75,4.75,9.2,,8,
2001651,6.4,5.75,6.5,6.75,,,6.6,7.75,,
2000662,6.6,7,,,6.25,6,,,8.25,
2001321,6.4,4.5,6,6.25,,,2.4,8.25,,
2000059,8.4,6.5,7.75,7.5,,,8.8,8,,
2001431,6.8,6.25,,,5.5,3.25,4.4,,4,
2000936,6.4,7,6.75,7.25,,,,8.5,,
2000827,5.4,3.25,6.25,6.5,,,3,6.75,,
2001706,8.6,7.75,,,6.75,5,6.6,,7,
2000443,8.2,5.5,,,6.75,5,7.4,,5.5,
2000498,8.4,7.5,7,8.25,,,9,9.25,,
2000388,6.6,6.25,,,4.5,3,4.2,,5.5,
2000992,8.4,5,,,3.75,8.5,9.6,,7.75,
2000772,5,4.5,4,5.25,,,4,7.5,,
2001211,5.2,5,,,4,2.75,4,,5.5,
2000279,7.2,7,7.25,7,,,8,8.25,,
2000608,8.8,6.75,,,6.25,4.25,8,,6.25,
2001047,8.8,7,,,5.25,9.25,9.4,,8.5,
2000333,7.6,7,,,4.75,2.75,7.4,,5.5,
2000224,6.2,7.75,,,6.5,4.5,9,,5.75,
2000114,7.4,7.5,,,2.25,3.5,7,,4.25,
2001267,6,4.25,4,4.25,,,4.8,6.5,,
2000882,8.2,7.25,9.25,8.5,,,9.2,9.25,,
2000169,8.2,6,,,8.25,4.5,,,8.5,
2001542,7.6,7.5,7.75,7.5,,,8.2,9,,
2000718,8.8,6.25,,,5.25,8,,,8.5,
2001487,5.8,7.75,5.25,7.25,,,5.4,7.75,,
2000005,7.2,7.25,6,4.5,,,9.4,7.5,,
2001377,7,6.75,7.75,7,,,5.2,7.5,,
2001652,7.2,5.75,7.5,7.25,,,6.6,9,,
2001597,6.6,7.25,7.75,6.25,,,7,9.5,,
2000060,8.2,7,9.25,8.25,,,8.8,8.75,,
2001102,5.2,4.5,4.25,6,,,3.2,6.5,,
2000937,7.6,5.75,,,6.5,5,7.8,,7,
2001322,7.6,5.5,,,4.75,4.75,4,,3.75,
2001157,7.6,6.25,9.75,8.5,,,7.8,9.5,,
2000389,8.2,7.25,7.25,6.5,,,7.6,8.25,,
2001707,7.4,5.75,4,5,,,8.8,6.5,,
2000663,7,4.25,,,2,2.25,2.2,,5.25,
2000499,6.8,7.75,7.75,6.75,,,8.4,9,,
2000444,8,7,7.25,6.5,,,8.6,8.5,,
2001212,7.8,6.5,,,5.75,4.75,9.2,,6.25,
2000993,8.4,5.75,8.25,8,,,9.6,9,,
2000773,7.8,5.5,,,7.25,5,,,6.5,
2001432,8.4,6,,,9,5,6.8,,8.5,
2000828,8.6,5.5,8.5,8.25,,,9.4,9,,
2000334,7.2,8.25,7.25,7.5,,,8.4,7.5,,
2000609,7.8,6.75,,,5.5,3.5,6.2,,3.5,
2001048,6,5.75,7.25,7.25,,,5.6,8,,
2000280,8,8,8.75,7.25,,,9.2,8.75,,
2000719,7.8,5,,,7.5,4.25,7.4,,8.5,
2000225,8,7,7.25,7.5,,,8.4,8,,
2000115,7.8,7,6,5.5,,,6,7.75,,
2001488,7,6.5,,,6.25,3.5,5.4,,6,
2000170,8,7,,,8.25,4.5,9.4,,6.75,
2001378,5.4,6.5,8.25,7,,,8.6,9.25,,
2001268,5.6,6.25,4.75,6,,,4,6.75,,
2001543,7.8,7.75,5.75,7.25,,,7.4,9.5,,
2000006,8.2,6.5,,,7,3.75,8.6,,6.25,
2000883,2.8,4,2.25,4.25,,,2.4,7,,
2000938,7.4,6.75,,,6.25,3.75,3.6,,6.75,
2000061,8,6,7.75,7.5,,,7.2,9.25,,
2001598,6.4,7.5,6.5,6.25,,,5,8.75,,
2001103,5.8,5,,,2.75,2,5,,3.75,
2001653,7,6.25,6,5.75,,,8,8.75,,
2001323,8.2,5.75,,,6.5,4,4.8,,7.75,
2001158,8,6.75,8.25,7.25,,,8.6,8.5,,
2000774,6.6,5.25,,,6,3.75,4.4,,6.25,
2000390,7.8,7.75,7.5,6.5,,,8,7.75,,
2001708,9,7.25,,,7.75,4.75,7.4,,6.5,
2000445,8.2,6.25,,,8,8,9.4,,9,
2001213,7.2,7.75,7.25,7.25,,,6,9,,
2000500,5.2,5,6.75,7.5,,,7.2,7.75,,
2000994,6.4,5.75,,,3.5,3,3.4,,4.5,
2000664,7.4,5.5,8.5,8.5,,,,8.5,,
2001433,7.8,6.75,,,5.75,6.25,7,,7.75,
2000829,6.6,5,,,5.5,3.5,8.8,,3.25,
2000553,9,7.25,,,5,5.75,7.2,,8,
2000171,8,6,,,7,3.75,7.6,,6.75,
2000610,7.6,7.5,8.75,7.5,,,9,8.25,,
2000720,7.8,6,,,6,4.5,8.2,,8.75,
2000281,8,7,,,6.75,5.5,8,,8,
2001489,5.8,6,5.25,6.25,,,3.8,7.5,,
2001269,8.4,5.75,,,6.25,4.5,7,,6.5,
2001049,7,7,,,4.25,4.75,8.6,,6,
2000226,7.8,7.75,,,8,6.5,8.6,,6,
2001544,7.4,7.25,6.75,8.25,,,6.8,9.5,,
2000335,9.2,7.75,,,7.5,6.5,9.2,,8.25,
2001379,6.6,5,,,6.25,5.75,6.8,,6.25,
2000116,7,7.5,6.75,7.25,,,8.8,8.25,,
2001599,2,2.25,3.5,,,,3.4,,,
2001104,7.4,5.75,,,6.5,3.75,3.6,,7.75,
2000939,8.2,7,,,6.5,7,9.6,,7.75,
2000007,7.2,7.25,,,7,3,5.4,,4,
2001654,8,5.75,4.75,7.75,,,7.2,8.25,,
2000884,5,5,6.25,6,,,4,8,,
2000062,8.6,5.75,,,7.25,5.75,8,,4.75,
2001324,5.6,4.75,,,5.5,3.75,5,,4.5,
2001159,7.6,7.25,,,6.5,5,9.2,,6.75,
2000391,8,7.5,,,6.75,3.5,7.8,,4.5,
2000830,6.8,6,,,5.5,3.25,4.8,,4,
2001709,7.8,7.5,8.75,7,,,9.4,9.25,,
2000501,8,7,,,5.75,4.75,8,,7,
2000665,4.4,5.5,8.75,8,,,3.8,8,,
2000554,8.4,7.25,,,8.25,6.75,7.2,,8.75,
2000446,8.4,6.75,,,7.75,5.75,8.8,,8.5,
2000775,7.2,7,,,6.25,6.25,8.8,,6.75,
2000721,9.2,6,,,9.25,7.25,8.8,,9,
2001434,5.4,4,,,5,4.5,4,,5,
2000172,7.6,7,8,8.75,,,8.4,9,,
2001214,6.2,4.25,5.5,6.25,,,6.6,8.25,,
2001380,7.8,6.25,6.5,7.75,,,5.8,9,,
2001490,7.4,8,4.75,4.5,,,6.8,6,,
2000227,7.8,6.75,6.75,6,,,8.4,7.75,,
2000995,7.8,7,8,6.25,,,9.4,7.75,,
2001545,9.2,6.75,,,7.25,6.75,9.2,,8.5,
2000611,7.6,8,8.5,6.75,,,8.6,8.5,,
2000282,7,6,,,8.25,3.75,8.2,,7.5,
2000336,7.6,7.5,,,7.75,5.25,9.2,,6.75,
2001270,6,5,,,4.25,3.75,6.6,,5.25,
2000117,9.4,6.75,,,8.5,5.75,6.4,,9.25,
2001050,8,6.25,,,4.75,5.75,8.8,,9.5,
2001105,8.2,6.25,,,8.25,6.5,9.2,,8,
2000940,7.4,6,,,6,3.5,7.4,,4.75,
2001600,2.6,6.25,4.5,6,,,5.2,7.75,,
2001655,6.8,5.75,5.25,6.75,,,6,7.25,,
2000885,4.4,5.5,7,5.25,,,3.2,8.5,,
2000008,8,7.75,,,8.5,4.25,7.4,,7,
2000063,8.4,5.5,,,8.25,5.25,8,,7.25,
2001160,6.6,6.75,9,8.25,,,9,8.25,,
2001325,7.4,6.25,7.5,8.75,,,6.8,9.5,,
2000776,6.6,7.5,8.75,7.75,,,10,9.5,,
2001051,8.6,6.5,,,7.25,5.5,9.4,,8,
2000666,6.4,5.25,6.75,5.75,,,4,7.25,,
2000722,8.6,6,,,8,3.5,8.6,,6.75,
2001491,5.6,8.25,,,3.75,4.25,3.8,,3.25,
2000337,7,6.5,,,4.5,4.25,6.8,,7,
2000283,8.6,6,,,5.75,9,7.2,,8.5,
2000228,6.4,6.25,9.75,8.5,,,8.2,8.25,,
2001546,5.8,5.75,4,3.75,,,3.4,6.75,,
2001381,4.8,6.5,4.5,4,,,3.2,8,,
2000118,6.6,5.25,,,5,4.25,7.2,,5,
2001710,6.2,6.75,7,6.5,,,3.6,7.25,,
2000612,7.6,8.25,8.5,7.75,,,8.2,9,,
2000392,7.2,8,8,6,,,6.6,7.5,,
2001435,7.6,5.75,,,3.5,2.5,7.6,,3.75,
2000447,8,5.5,,,8.5,3,9,,5,
2000555,7.6,7.5,8.75,6.75,,,7.6,8.25,,
2000996,6.2,6.5,6,6.5,,,3.8,7.25,,
2000941,8,6,,,7.5,5.25,8.8,,9,
2000831,8.8,5.75,,,7.25,7.75,9.6,,8,
2001271,6.2,7,7,5.75,,,3.6,8.5,,
2000502,7.8,7.25,8.75,7.25,,,9.6,9,,
2000173,8.2,7.5,7.75,7.5,,,8.8,9,,
2001601,7.4,6.75,,,5.75,4.25,8.8,,6,
2000064,8.8,7.75,9,7.75,,,9.2,9.25,,
2001656,6.2,5.75,5.75,6.75,,,4.6,7.5,,
2000886,6.8,7,,,6.5,5.75,9,,7.5,
2001106,7.4,5.25,6.5,7.75,,,7.6,8,,
2001215,8,7.25,,,6.25,7,8.4,,6.5,
2001326,8.6,6,,,7.25,3.25,9.2,,4,
2000667,8.8,7.25,,,6.25,6.25,8.8,,9.25,
2001161,7,4.25,,,7.5,4.5,8.8,,4,
2000777,7.6,6.25,,,5,5,9,,8,
2000009,7.6,7.25,8.25,7.5,,,7.8,8.25,,
2001052,8,4.75,,,4.75,4,9.6,,5,
2000338,8.6,6,,,7.5,4.75,8.6,,7.75,
2000065,7,6.75,7.75,6.5,,,7.2,8.25,,
2001382,6.2,6,6.25,7,,,9,7,,
2000723,7,5,7,7.75,,,4.2,8,,
2001547,9,7,,,5.5,5,7.8,,4.75,
2000229,8.4,6.75,,,7,4.25,7.8,,8.75,
2000556,5.8,6.5,,,3.25,3.5,8.2,,6.5,
2000448,8.6,5.25,,,7,8.5,6.6,,8.25,
2001436,8,5.25,,,6.75,4.75,4.8,,7.5,
2000997,7,7.25,9.75,8,,,9.4,8.5,,
2000832,4.4,4.58,5.75,5.75,,,4.2,6.5,,
2001492,6.4,6.75,6.5,6,,,3.6,7.5,,
2001711,6,6.5,4.25,6.75,,,6.4,8.5,,
2001272,7.6,7.5,8.25,7.75,,,6.8,9,,
2000174,8.2,6,,,7.5,4,8.2,,7,
2001107,8.6,7,,,6.5,6,9.6,,8.25,
2000119,7.6,8.25,8,7.25,,,9.4,8.5,,
2000284,7.8,6.25,,,7.25,6.25,8.8,,7.5,
2001216,7.4,7,7,5.25,,,5.2,8.5,,
2000393,6.8,8,6.5,6.25,,,6.6,8,,
2000503,8.2,6.5,,,4.5,6,5,,7.25,
2000887,8.6,6,,,7,5.75,8.8,,8,
2000613,8,7.5,7,7,,,,8.5,,
2001602,8,8,7.25,6.25,,,8.2,9.25,,
2001327,5.8,5.25,4.25,4.5,,,4.6,5.75,,
2000942,7.2,7,9.5,8.25,,,9.2,9,,
2001162,4,5,3.25,4.5,,,3.8,7.25,,
2000668,8.8,4.25,,,7.25,5.75,9,,6.5,
2000778,6.2,5.5,5.25,6,,,5.4,7.25,,
2001657,5.4,5.5,6.5,7,,,6,7.5,,
2001053,9,7.5,,,8,6.5,9,,8.25,
2000010,8.4,7,,,6.25,4.25,7.2,,7.75,
2001217,5.6,5,,,5.5,2.75,5.6,,3.75,
2000449,8.8,6.75,,,8.25,5,5.8,,9,
2001658,4.8,4.5,6.5,6.75,,,3.6,8,,
2001328,8,7,,,6.5,6.25,8.2,,8.25,
2000724,7.4,6.5,,,5.5,5.5,8.6,,5.5,
2000614,8.2,7.25,,,6.25,5.75,7.8,,5,
2001437,6.8,6,,,5,5,4.4,,6.25,
2000779,4.6,4.25,5.25,6.25,,,2,6.5,,
2000394,8,7,,,6.75,7,8.8,,8.5,
2001603,7.2,7.25,,,5.25,4.75,6.6,,4,
2001273,4.8,6.5,6,6,,,5.8,7,,
2001383,7.2,5.75,5.75,4.5,,,4,8,,
2000285,7.8,7.25,,,5.75,4.25,9,,6.5,
2000339,7,7.5,7.75,7.5,,,8.2,8.25,,
2000175,8.6,6.75,,,9.75,5.5,8.8,,7.5,
2001108,7.8,5.5,7.25,8.25,,,9.4,8.5,,
2001548,7.4,7.25,,,5.25,3.75,7.6,,4.25,
2001712,5.6,6.75,5.75,5.75,,,6.8,8.5,,
2000888,8.2,7.5,,,9.25,6.75,8.8,,9,
2000833,8.2,5.25,,,8,5.5,8.6,,6.75,
2000120,9.2,8,,,8.5,6,9.8,,7.5,
2000504,8.2,7.25,,,6,5,9.4,,7.75,
2001493,8.2,7.75,,,7.25,5,6.4,,7.5,
2000669,7.2,5,,,6,4.5,7.2,,7.25,
2000557,7.4,5.25,,,7,4.75,6.2,,6.25,
2000230,8,7,,,6.25,7.75,7.2,,8.5,
2000066,8.2,5,,,8,3.25,7.6,,5.5,
2001054,8.8,7.25,,,6.25,6,8.2,,7.5,
2000011,9.2,6.5,5.25,7,,,8.2,7.75,,
2000998,9,6.75,,,9,6.75,8.8,,9.5,
2000943,7.8,6.5,,,5.5,5.25,9.4,,6.75,
2001163,8.4,5.5,,,6,6.75,9.6,,7.25,
2001218,7.6,5.25,5.75,7,,,3.2,7.75,,
2000615,7,8.75,7.75,7,,,8.8,8.5,,
2001329,7.8,7,6,5.75,,,7.8,7.25,,
2001274,8.2,6.5,,,7.5,4.5,9,,7.25,
2000395,8,7.5,,,6,6.5,9,,6.5,
2000340,6,5.75,,,6.25,4,6.4,,3.75,
2000450,8.4,6.25,,,6.75,5.75,7.6,,8,
2000067,8,6,,,7.5,3.25,8.6,,6,
2001604,7,5.5,6.75,8,,,9.8,8.25,,
2000121,7.8,6.5,6.5,7.25,,,8,7.75,,
2000176,7.8,7.25,7.75,8,,,8,8.5,,
2001494,6.8,6.25,,,5.25,3.25,4.8,,4.5,
2000834,8,6.25,,,4.25,6,7.6,,7.5,
2001055,8.4,7.75,,,6.75,6.5,9,,8.75,
2000505,7.4,7.33,6.75,6,,,7.4,10,,
2001384,7.8,6.5,3.75,4.25,,,6.8,7.25,,
2000012,9,5.5,,,7.75,4.5,5.4,,7.75,
2001109,7.8,6.5,,,7.5,4,9,,7,
2001659,8,7.25,7.25,7.75,,,8,8.75,,
2000780,7.4,7,8,7,,,9,8.25,,
2000670,8.2,7,9,7.75,,,9,9.75,,
2000725,8.4,4.25,,,7.5,5.25,8.4,,8.75,
2001549,6.4,7.75,7.5,8.25,,,7,9.5,,
2000231,8.6,7,7.5,7,,,8.6,8.5,,
2000944,7.2,6.25,,,6.75,3.5,7.8,,5.75,
2000999,7.6,7,,,5.5,4.5,,,7,
2000889,6.4,4.5,,,3.25,3,3.8,,6.75,
2001438,5.8,6,,,5.25,4.75,5.8,,5.5,
2001713,7.8,6.75,,,5,5,5.8,,4.5,
2001164,5.8,5.25,,,4.75,4.25,7,,6.5,
2000558,8.6,6.25,,,7.5,3.75,7,,7.25,
2000286,6.6,6.75,5.75,6.5,,,5.6,6.75,,
2001219,7.8,6.25,,,6,4.75,6.4,,6.25,
2001275,5.6,4.25,,,5,2.75,2.4,,7.25,
2001330,7.4,7.25,5.5,4,,,8.6,8,,
2000616,7.2,7,7.75,7.5,,,7.6,7.5,,
2000068,8.8,6,,,7.75,5.25,8.8,,6.75,
2001605,8.2,4.75,,,6,4.25,6.8,,7,
2000396,6.2,8.25,,,6.25,4.75,5.6,,5.25,
2000451,7.6,7.75,,,7.5,3.75,7.4,,8,
2000726,8.8,7.5,,,4.75,6.5,9.2,,6.75,
2001439,8,7,,,6.25,3.25,6.4,,6.25,
2000122,7.2,7.25,7.5,7.5,,,7.8,8,,
2000781,4.6,5,3.75,6.25,,,4,8.25,,
2001000,7.2,8,7.75,7,,,8.2,7.75,,
2001165,5.6,5,,,4,3.75,6.2,,4.75,
2001660,7.6,6,6.25,8,,,5.6,6.75,,
2000559,7.8,6,,,8.5,4.25,7.8,,7.25,
2000835,4.6,4.5,5.75,6.25,,,4.6,7,,
2000341,8,7,7.5,6.75,,,7.2,9.25,,
2000671,7,7.5,7,6.75,,,7.4,7,,
2001110,8.2,6.25,,,7.75,6.5,9.8,,7.5,
2000232,8,7,7.75,7.5,,,8.4,9,,
2000506,7.8,6.25,,,7.5,6,6.4,,7.5,
2001056,9,5.25,,,8.25,6.5,9.6,,7.25,
2001385,8.6,6.75,,,6.75,7.25,8.4,,8.5,
2000287,8.4,6.75,,,7,4.25,5.8,,7.25,
2000013,6.4,6,5.25,5.75,,,7.4,8.5,,
2000177,7.8,6.75,7.25,7.75,,,7,7.75,,
2001495,5.8,5.5,5,5.5,,,8.2,8.5,,
2001220,6.6,6.25,5.25,6.5,,,7.8,8.5,,
2000945,8,7.25,9.25,7.25,,,9.4,9.5,,
2001550,7.8,7,6.5,6.75,,,6.4,8.25,,
2001714,5.6,6,,,4,4.75,5,,3.5,
2000890,7.8,7,,,8.25,5.25,9.4,,7,
2001331,6.4,5,5,6,,,2.6,7,,
2001276,7.8,6,,,8.5,3.75,8,,4.5,
2000617,8,5.25,,,6.5,2.5,9,,7,
2000452,8.4,6.5,,,7.5,5.25,7.4,,6,
2000727,6.6,7.5,8.5,8,,,8,8.25,,
2001440,6.8,5.75,,,6,4,3.2,,7.25,
2001166,8,5.5,,,8.5,8,9.6,,6.5,
2001001,7.2,6.75,7,6.25,,,6.2,8.5,,
2001606,8,7.25,8.75,8.5,,,7.4,9,,
2001057,8.8,7,,,8.75,4.75,,,8.75,
2001332,7,6,6,5.75,,,4.8,8.5,,
2000397,8,7.5,,,7.75,6.25,8.6,,8.5,
2001221,5,6.5,4.75,5,,,6.2,7.25,,
2000014,8.4,7.75,,,8.75,4.5,7.8,,7.5,
2000123,7.8,5.75,,,6,5,6.4,,4,
2000891,7.8,7.75,,,7.5,8.25,9.2,,8,
2001386,6.2,7.25,7,7,,,7,8,,
2000782,8.6,7.75,7,7,,,9.4,9.25,,
2001551,9.2,7,,,8.25,5.5,7,,8.25,
2000946,8,6.75,7.25,9.25,,,8.8,9,,
2000069,7.6,6.5,,,6,3.75,8.4,,6,
2000672,7.8,6,4.5,7.75,,,8.6,7.25,,
2001277,6.8,7.25,,,4.75,4.5,9,,5.5,
2000233,7,6.5,,,6,3,8.2,,5.5,
2001496,6.6,7.75,,,6.75,4.75,6.4,,6,
2001715,7.4,7,5.25,5.75,,,4,8.5,,
2000342,8,8,8,7.25,,,9.8,9.25,,
2001661,7.6,7.5,6.25,7,,,7.6,8.25,,
2000507,8.4,6.5,,,9.25,4.75,8.6,,5.5,
2000618,8.6,7.5,,,9,4.75,8,,7.5,
2000836,8.4,7.75,,,8.25,7.25,10,,8,
2001111,7.8,7.25,,,6.75,8.25,8.2,,8.25,
2000560,9.2,5.5,,,8,5,9,,7,
2000178,8.6,5,,,7.5,3.25,8.6,,6,
2000288,6.6,5.5,8,6.5,,,7,7.5,,
2000453,8.4,7.25,,,7.5,4.25,8.8,,5.25,
2000728,8.2,6.5,,,7.25,5,9.2,,8,
2001441,7.2,6.25,,,6.25,5.75,7.8,,6.25,
2001002,7.2,8.25,7.75,7.5,,,8,9,,
2001058,4.6,7,8,6,,,6.4,7.25,,
2001167,9.2,8,,,8.75,7.75,9.6,,8.25,
2001607,7.8,7.75,7.25,6.75,,,5.6,8,,
2000892,9,6.25,,,7.5,5,8.2,,8.5,
2000124,7.8,6,6.5,5.25,,,7.4,7.75,,
2001222,6.8,6.75,,,6,4.25,6.8,,5.5,
2000947,8.6,6.75,,,6.25,6.5,9,,8.5,
2001387,8.2,7,,,7.25,4.25,8.2,,6.75,
2001716,6,5.75,,,2.75,3.5,3,,5.5,
2000070,7.2,7.5,,,6.5,7.5,7.6,,8.25,
2000673,8.4,6.75,8.75,7.25,,,9.4,8,,
2001552,7.2,5.5,,,3.25,5,,,7.25,
2000234,8.2,6.5,,,7.75,4.5,8.2,,6.25,
2000837,8.8,7.5,,,9.5,6.25,9.4,,9,
2000398,8,7.5,,,6,3.75,7.6,,5.25,
2000015,8,6.25,8.5,7,,,9,8,,
2000619,6.2,7.5,6.5,6,,,8,8.5,,
2000179,8.2,6.5,7.25,6.25,,,7.6,8.5,,
2001112,9.2,7.5,,,8.25,8.25,9,,8.25,
2001278,7.6,7.25,7,7.5,,,5.8,9,,
2001497,8.4,7.5,6.5,8.5,,,7.8,8.75,,
2000508,8,8,7.75,7.5,,,8.6,8.75,,
2001333,7.4,6.75,,,6.75,6,6.4,,5.5,
2000343,8.2,7.75,9.25,7,,,8.2,9,,
2001662,6.6,6.25,7,7,,,5.4,9.5,,
2000561,6.2,8,7.5,5.75,,,8.2,7.25,,
2000454,7.6,6.75,,,5.5,4.5,,,6.5,
2000783,8.4,8.5,8.75,7.5,,,,8.75,,
2000289,7.8,7.75,6.25,8,,,7.6,6.75,,
2000729,8.6,5.25,,,7,8.5,,,7.5,
2001442,7,5.5,,,4.75,3.5,7.2,,5,
2001003,6.8,4,,,4.75,4,7.6,,4.25,
2001608,7.8,7.75,8.25,7.5,,,6.6,9.5,,
2001168,6.4,5.75,5.5,6.25,,,4.8,7.75,,
2001059,4.6,5.25,5,5.25,,,2.2,5,,
2000893,8.2,6,,,7.5,4,8.8,,8.25,
2000125,7.8,6.25,,,7.75,6,8,,8.5,
2001223,,,,,,,,,,
2000071,8.2,5.75,,,3,7.25,6.8,,7.25,
2001717,6,6.25,7.25,6.25,,,6,7.5,,
2000838,8.4,6.25,,,7.5,4.5,9.2,,8.75,
2000399,8.8,6.5,,,8.5,3.75,9,,7.75,
2000016,7.4,6.5,5,4.75,,,8,7.5,,
2001113,4.6,6.75,8,6.75,,,6,9.75,,
2000290,8,7.75,7.75,6.75,,,9.8,7.75,,
2000730,6.2,6.25,7.5,6.25,,,6.2,7.25,,
2000620,7.2,7,,,4.5,2.25,7.2,,4.5,
2000344,7.2,7,,,6.25,4.5,8.6,,5.75,
2000509,7.6,7,8,6.75,,,9.6,8.75,,
2001334,7,6.5,,,7,5.5,7.2,,7.5,
2001498,7,6.5,3.75,5.5,,,5.2,8.5,,
2000948,7.4,6,8,7.25,,,6.8,8.75,,
2000784,9,6.75,,,7.75,6.75,9,,6.75,
2001443,6.8,6.25,,,6.5,3,8.4,,4.5,
2001169,8.4,7,,,8.5,6.5,9.6,,8.5,
2001004,8,7,7.75,7.5,,,9.6,8.25,,
2001553,7.2,6,,,5.5,4,4.2,,4.75,
2000674,8.6,6.75,,,8.25,5.75,9.8,,6.75,
2000562,8.6,8.25,6.75,7,,,8.2,7.75,,
2001060,7.6,6,6.75,5,,,5.8,9,,
2001388,8.8,7.75,7.5,8.25,,,9.4,7.75,,
2001279,7.2,6.5,,,5.75,4.5,4.8,,6.25,
2001609,6,6.5,6.5,6,,,7.2,8.25,,
2000180,6.6,3.75,,,5.75,3,9.2,,4.25,
2000894,7.8,7.75,6.75,7.5,,,6.8,8.25,,
2000235,7.8,7,,,8,5.5,5.6,,7.75,
2000455,7.8,6.5,,,7.5,4.75,8.6,,5.75,
2001663,5,6.5,5,6.75,,,5.6,7.25,,
2000126,8.4,5,,,7.5,4.5,8.6,,6,
2001224,8.8,6.75,,,6.25,5,7.8,,5.75,
2000072,6.4,7,,,4.75,3.5,8.2,,5.75,
2000731,4.8,5,5.5,5,,,3.4,6,,
2000839,8,5.75,,,7.5,4.75,10,,5.5,
2000291,7,8,6.25,6.5,,,8,7.75,,
2000621,8.8,7.25,,,8,5.75,8.8,,8.25,
2000017,7.4,7.25,7.75,8.25,,,8.4,7.75,,
2000345,7.8,7.5,,,7.5,6.5,8.8,,6.75,
2000400,8.2,6.75,,,6.5,6,9.2,,6.25,
2001718,6.8,6,,,5.75,3.5,6,,5.25,
2001114,7.8,7,,,5.75,4,9,,6.5,
2000510,7.8,6.5,7.25,7,,,8,8.5,,
2001061,8.6,6.75,,,6.75,5.25,9,,8.5,
2001005,8,8.25,9.5,8.75,,,9.6,9.5,,
2000949,7.6,6.25,,,6.25,6.5,,,4.75,
2001389,5.6,6.25,,,5.25,4.5,4.6,,2.5,
2000236,8,6.25,,,7.5,6.25,8.8,,6.25,
2001280,8.2,7,,,6.25,5.5,6,,5,
2000563,7.6,6.75,6.25,7,,,8.6,7.5,,
2001554,8.4,6.5,,,6.25,7.25,7.2,,8,
2000181,8,6.25,,,6.5,4,6.4,,6.5,
2000675,9,5,,,7.75,7.25,,,7.75,
2001170,8.4,7.5,,,6.25,8,8.8,,8.5,
2001444,7.6,6.5,,,6.5,5.25,6.4,,6.75,
2001225,2.6,6.25,4.25,6.5,,,3.2,7.25,,
2001499,8,7.75,,,6.5,5.75,7.6,,7.75,
2001335,8.6,7,,,8,4.75,6.8,,7.5,
2000895,6,5,,,5.25,3,8,,4.5,
2000785,7.6,5.5,,,7.5,3.5,,,7.25,
2001610,5.2,5.25,1.75,4.5,,,6,6.5,,
2000127,8.8,6.75,,,8,4.25,7.8,,6.5,
